字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
戏,,戏㈡,[戲],huī,又,6,左右,一级字,军队中的帅旗。《汉书·灌夫传》：“驰入吴军，至～下。”这个意义后来多写作“麾”。
虫,,虫㈡,,huǐ,虫,6,独体,一级字,毒蛇。《山海经·南山经》：“羽山……多蝮～。”又写作“虺”。
讳,,讳,[諱],huì,讠,6,左右,一级字,❶避忌。因有所顾忌而躲开某些事或不说某些话。《战国策·秦策一》：“公平无私，罚不～强大。”《左传·庄公十八年》：“不言其来，～之也。”//〖又〗避忌的事物。东方朔《七谏·谬谏》：“恐犯忌而干～。”//❷封建社会称死去的帝王或尊长的名。《三国志·魏书·武帝纪》：“太祖武皇帝，沛国谯人也，姓曹，～操。”（谯：地名。）
㧑,,㧑,[撝],huī,扌,7,左右,三级字,❶剖开，破开。《后汉书·马融传》：“～介鲜，散毛族。”（介鲜：指禽兽。）//❷通“挥”。指挥，挥动。《公羊传·宣公十二年》：“庄公亲自手旌，左右～军，退舍七里。”程公许《念奴娇·中秋玩月》词：“谁与冰轮～玉斧，恰好今宵圆足。”//〖引〗指斥，指责。《淮南子·览冥》：“武王……瞋目而～之曰：‘余在，天下谁敢害吾意者。’”//[指㧑]//指点，指挥。《淮南子·兵略》：“修政庙堂之上，而折冲千里之外，拱揖～～而天下响应，此用兵之上也。”//所指，意向。许慎《说文解字叙》：“会意者，比类合谊，以见～～。”//❸谦逊。王仲宝《褚渊碑文》：“功成弗有，固秉～挹。”（秉：保持。挹：通“抑”。指不骄傲。）
沬,,沬㈠,,huì,氵,8,左右,,通“頮”。洗脸。司马迁《报任安书》：“～血饮泣，更张空弮（quān）。”
恢,,恢,,huī,忄,9,左右,一级字,广大，宽广。《荀子·非十二子》：“～然如天地之苞万物。”（苞：通“包”。）//[恢恢]//大，广大。《老子·七十三章》：“天网～～，疏而不失。”//[恢复]//收复。多指收复失地。《新五代史·南唐世家·李景》：“苟不能～～内地，申画边疆，便议班旋。”岳飞《南京上高宗书略》：“～～故疆。”//〖引〗扩大。《汉书·叙传》：“～我疆宇，外博四荒。”《三国志·魏书·文帝纪》：“～文武之大业。”
挥,,挥,[揮],huī,扌,9,左右,一级字,❶挥动，舞动。刘琨《扶风歌》：“～手长相谢，哽咽不能言。”李白《古风五十九首》之三：“～剑决浮云。”（决：断。）//❷甩出，散出（液体）。《战国策·齐策一》：“举袂成幕，～汗成雨。”//〖引〗指饮酒。范云《赠张徐州谡》诗：“恨不具鸡黍，得与故人～。”//❸[挥霍]//疾速的样子。陆机《文赋》：“纷纭～～，形难为状。”李商隐《行次西郊作一百韵》：“奚寇西北来，～～如天翻。”（奚寇：指安禄山军队。）//古代“挥霍”不作“任意花钱”讲。
洄,,洄,,huí,氵,9,左右,二级字,❶曲折的水道。《诗经·秦风·蒹葭》：“遡～从之，道阻且长。”//❷水回旋而流。《后汉书·王景传》：“十里立一水门，令更相～注。”《宋书·张兴世传》：“江有～洑，船下必来泊。”（洑：旋涡。）
绘,,绘,[繪],huì,纟,9,左右,一级字,❶彩绣。刘勰《文心雕龙·总术》：“视之则锦～。”//〖引〗图画。殷璠《河岳英灵集·王维》：“词秀调雅，意新理惬，在泉为珠，著壁成～。”//❷绘画。《论语·八佾》：“～事后素。”（先有白色底子，然后绘画。）
荟,,荟,[薈],huì,艹,9,上下,二级字,草多的样子。郭璞《江赋》：“潜～葱茏。”（葱茏：青翠而茂盛。）//[荟蔚]//草木茂盛的样子。柳宗元《永州龙兴寺东丘记》：“幽荫～～。”//云雾弥漫的样子。木华《海赋》：“～～云雾。”//双音词有“荟萃”，多用于指人才和精美物品的汇集。
虺,,虺㈠,,huī,兀,9,半包围,二级字,[虺虺]//雷声。《诗经·邶风·终风》：“～～其雷。”
虺,,虺㈡,,huǐ,兀,9,半包围,二级字,❶毒蛇。屈原《天问》：“雄～九首。”（首：脑袋。）//❷[虺隤（tuí）]//疲病的样子。《诗经·周南·卷耳》：“我马～～。”
袆,,袆,[褘],huī,衤,9,左右,三级字,❶蔽膝，古代男子佩于前身的佩巾。曹植《鼙舞歌·灵芝篇》：“退咏《南风》诗，洒泪满～抱。”//❷王后的祭服。《礼记·明堂位》：“夫人副～立于房中。”（副：首饰。）
诲,,诲,[誨],huì,讠,9,左右,一级字,教导，指教。《论语·述而》：“学而不厌，～人不倦。”《孟子·告子上》：“使弈秋～二人弈。”（弈秋：人名。弈：下棋。）
濊,,濊㈠,,huì,,,,,❶水深。//[汪濊]//很深的样子。司马相如《难蜀父老》：“威武纷纭，湛恩～～。”《乐府诗集·汉郊祀歌》：“泽～～，辑万国。”//❷通“秽”。浑浊。《淮南子·齐俗》：“河水欲清，沙石～之。”
煇,,煇㈠,,huī,,,,,❶光辉，光彩。《诗经·小雅·庭燎》：“庭燎有～。”（燎：火炬。）《汉书·韦玄成传》：“四方遐尔，观国之～。”//❷写作“辉”。
燬,,燬,[𤈦],huǐ,,,,,❶烈火。《诗经·周南·汝坟》：“虽则如～，父母孔迩。”杜甫《种莴苣》诗：“枯旱于其中，炎方惨如～。”//❷燃烧。《晋书·温峤传》：“峤遂～犀角而照之。”
篲,,篲,,huì,,,,,扫帚。《庄子·达生》：“（田）开之操拔～以侍门庭，亦何闻于夫子。”《史记·高祖本纪》：“后高祖朝，太公拥～，迎门却行。”（却行：向后倒行。）//〖又〗用作动词。扫。枚乘《七发》：“凌赤岸，～扶桑，横奔似雷行。”
繢,,繢,,huì,,,,,❶成匹布帛的头尾，又称机头。可用来系物，也可做装饰品。《说文·糸部》：“繢，织余也。”//〖引〗带子。杨衒之《洛阳伽蓝记·城西》：“以五色～为绳。”//❷通“绘”。五彩的刺绣或图画。《周礼·考工记·画繢》：“画～之事，杂五色。”《礼记·曲礼上》：“饰羔雁者以～。”//〖又〗用作动词。绘画，画。柳宗元《永州龙兴寺修净土院记》：“余遂周延四阿，环以廊庑，～二大士之像。”
繢,,繢,,huì,,,,,❶成匹布帛的头尾，又称机头。可用来系物，也可做装饰品。《说文·糸部》：“繢，织余也。”//〖引〗带子。杨衒之《洛阳伽蓝记·城西》：“以五色～为绳。”//❷通“绘”。五彩的刺绣或图画。《周礼·考工记·画繢》：“画～之事，杂五色。”《礼记·曲礼上》：“饰羔雁者以～。”//〖又〗用作动词。绘画，画。柳宗元《永州龙兴寺修净土院记》：“余遂周延四阿，环以廊庑，～二大士之像。”
闠,,闠,,huì,,,,,[闤（huán）闠]//见164页“闤”字。
靧,,靧,[頮],huì,,,,,洗脸。《礼记·内则》：“其间面垢，燂（qián）潘请～。”（燂：烧热。潘：淘米水。）
圂,,圂㈡,,hùn,囗,10,全包围,,猪圈。《汉书·五行志中之下》：“燕王宫永巷中豕出～，坏都灶。”//〖引〗厕所。《说文·囗部》：“圂，厕也。”
惛,,惛,[惽],hūn,忄,11,左右,三级字,❶不明白，糊涂。《战国策·秦策一》：“今之嗣主，忽于至道，皆～于教。”《论衡·论死》：“病则～乱，精神扰也。”//❷神志不清。《南史·宋孝武帝纪》：“仍复命饮，俄顷数斗，凭几～睡，若大醉者。”（仍：于是。）//[惛惛]//默默无闻。《荀子·劝学》：“无～～之事者，无赫赫之功。”//糊涂，神志不清。《汉书·王温舒传》：“～～不辩。”（辩：通“辨”。辨别。）
混,,混,,hùn,氵,11,左右,一级字,❶水势盛大。司马相如《上林赋》：“汩（gǔ）乎～流，顺阿而下。”（汩：水流急促。阿：大山。）//❷污浊，混浊。孙樵《书褒城驿壁》：“视其沼，则浅～而污。”（沼：池。）//❸[混然]//未分剖的样子。《荀子·非十二子》：“使天下～～不知是非。”//❹杂，掺和在一起。《老子·十四章》：“～而为一。”柳宗元《永州韦使君新堂记》：“远～天碧。”（和远处天空的蔚蓝色混合在一起。）//成语有“鱼目混珠”。
阍,,阍,[閽],hūn,门,11,半包围,二级字,❶守门的人。《左传·襄公二十九年》：“吴人伐楚，获俘焉，以为～。”《汉书·五行志下》：“后～戕（qiāng）吴子。”（戕：杀害。）//❷门。常指天门或宫门。扬雄《甘泉赋》：“选巫咸兮叫帝～，开天庭兮延群神。”
溷,,溷,,hùn,氵,13,左右,二级字,❶混浊，污浊。屈原《离骚》：“世～浊而嫉贤兮，好蔽美而称恶。”（蔽美称恶：指压抑好的，推崇坏的。）//〖引〗污秽之物，粪便。《世说新语·排调》：“就而视之，其根则群狐所托，下聚～而已。”//❷混乱。《后汉书·陈宠传》：“时司徒辞讼，久者数十年，事类～错。”//❸通“圂”。猪圈。《论衡·吉验》：“捐于猪～中。”（扔到猪圈里。捐：抛弃，扔。）//❹通“圂”。厕所。《南史·范缜传》：“（花）自有关篱墙落于粪～之中。”（关：穿过。）
慁,,慁,,hùn,心,14,上下,,❶忧，忧虑。《左传·昭公六年》：“舍不为暴，主不～宾。”//❷打扰，烦扰。《史记·范雎蔡泽列传》：“是天以寡人～先生而存先王之宗庙也。”//❸污辱。《礼记·儒行》：“不～君王，不累长上。”//❹混乱。刘勰《文心雕龙·议对》：“烦而不～者，事理明也。”
昏,,昏㈠,[昬],hūn,氏,8,上下,一级字,❶天黑，傍晚。《诗经·陈风·东门之杨》：“～以为期。”（以黄昏为约会的时候。）//〖引〗黑暗，无光。魏伯阳《周易参同契》：“～久则昭明。”（昭：光明。）成语有“天昏地暗”。//❷惑乱，糊涂。《左传·襄公二十五年》：“君～不能匡，危不能救。”《南史·刘显传》：“老夫～忘，不可受策。”（策：策问。）//❸目不明。韩愈《与崔群书》：“目视～花，寻常间便不分人颜色。”《新唐书·魏征传》：“臣眊～，不能见。”//❹神志不清。《战国策·赵策四》：“此皆能乘王之醉～，而求所欲于王者也。”《三国志·吴书·贺邵传》：“偶有逆迕，～醉之言耳。”//❺结婚。《诗经·邶风·谷风》：“宴尔新～，如兄如弟。”《汉书·晁错传》：“男女有～，生死相恤。”（恤：救济。）这个意义后来写作“婚”。
浑,,浑㈠,[渾],hún,氵,9,左右,一级字,❶水势盛大。//[浑浑]//水势很大的样子。《荀子·富国》：“财货～～如泉源。”//浑浊的样子。陆云《九愍·考志》：“世～～其难澄。”（澄：澄清。）//❷浑浊。《老子·十五章》：“～兮其若浊。”杜甫《示从孙济》诗：“淘米少汲（jí）水，汲多井水～。”（汲：打水。）//❸未分剖的。《晋书·王戎传》：“尝目山涛如璞玉～金。”（目：把……看作。山涛：人名。璞玉：未雕琢的玉。）//❹全，满。李白《少年行》：“～身装束皆绮罗。”//❺简直。杜甫《春望》诗：“白头搔更短，～欲不胜簪。”
浑,,浑㈡,[渾],hùn,氵,9,左右,一级字,杂，掺和在一起。《汉书·刘向传》：“贤不肖～淆，白黑不分。”（淆：杂乱。）《论衡·案书》：“阴阳相～，旱湛相报，天道然也。”
荤,,荤㈠,[葷],hūn,艹,9,上中下,一级字,❶指葱姜蒜等辛辣味的菜。《荀子·哀公》：“黼衣黻裳者不茹～，非口不能味也，服使然也。”（黼衣、黻裳：都是绣有花纹的礼服。）//❷指肉食。宗懔《荆楚岁时记》：“梁有天下不食～，荆自此不复食鸡子。”
获,,获,[獲],huò,艹,10,上下,一级字,❶猎得禽兽。《诗经·秦风·驷驖》：“舍拔则～。”（舍拔：指射箭。）//〖又〗俘获，缴获。李斯《谏逐客书》：“～楚魏之师。”（师：军队。）//❷得到。《论语·雍也》：“仁者，先难而后～。”《盐铁论·诛秦》：“初虽劳苦，卒～其庆。”（卒：终了。庆：福。）//❸通“获2（穫）”。收获庄稼。《荀子·富国》：“今是土之生五谷也，人善治之……一岁而再～之。”（岁：年。再：两次。）//❹女奴隶。《墨子·大取》：“爱～之爱人也，生于虑～之利。”//[臧获]//见514页“臧”字。//獲，穫。见下“获2（穫）”字。
获,,获,[穫],huò,艹,10,上下,一级字,收割庄稼。《诗经·豳风·七月》：“八月剥枣，十月～稻。”《汉书·食货志上》：“春耕，夏耘，秋～，冬臧（cáng）。”（臧：收藏。）
祸,,祸,[禍、旤],huò,礻,11,左右,一级字,❶灾害，祸害。《老子·五十八章》：“～兮福之所倚，福兮～之所伏。”//❷危害。《左传·昭公元年》：“子木有～人之心。”（子木：人名。）成语有“祸国殃民”。//❸罪过。《荀子·成相》：“罪～有律，莫得轻重威不分。”
惑,,惑,,huò,心,12,上下,一级字,❶疑惑。《左传·桓公十五年》：“雍氏舍其室而将享子于郊，吾～之，以告。”韩愈《师说》：“师者，所以传道受业解～也。”//〖又〗糊涂。《孟子·离娄下》：“乡邻有斗者，被发缨冠而往救之，则～也。”//〖引〗怀疑。曾巩《本朝政要策·任将》：“取董遵诲于仇雠，取姚内斌于俘虏，皆用之不～。”//❷迷惑，蛊惑。《韩非子·孤愤》：“～主败法，以乱士民。”//❸佛教称烦恼为惑。王屮《头陀寺碑文》：“理胜则～亡。”（亡：无。）
騞,,騞,[騞],huō,马,12,左右,三级字,刀割裂开物的声音。《庄子·养生主》：“奏刀～然，莫不中音。”《列子·汤问》：“其触物也，～然而过。”
夥,,夥,,huǒ,夕,14,左右,三级字,多。《史记·司马相如列传》：“鱼鳖欢声，万物众～。”《新唐书·突厥传序》：“晋地狭而人～。”//[夥颐]//叹词。表示惊讶或感叹。《史记·陈涉世家》：“～～！涉之为王沈沈者。”（沈沈：宫殿深邃的样子。）
𦞦,,𦞦,[臛],huò,月,14,左右,,带汁的肉（不加菜的）。宋玉《招魂》：“露鸡～蠵（xī），厉而不爽些。”//用作动词。烹煮。曹植《七启》：“～江东之潜鼍。”
嚄,,嚄,,huò,口,16,左右,二级字,❶叹词。表示惊讶。《史记·外戚世家》：“武帝下车泣曰：‘～！大姊，何藏之深也！’”//❷[嚄唶（zé）]//呼笑大声，表示勇悍。《史记·魏公子列传》：“晋鄙～～宿将，往恐不听，必当杀之。”
濩,,濩㈡,,huò,氵,16,左右,三级字,❶煮。《诗经·周南·葛覃》：“维叶莫莫，是刈是～。”//❷[濩渃（ruò）]//水势激荡的样子。《楚辞·九思·疾世》：“望江汉兮～～。”//❸[濩落]//空廓。韩愈《赠徐州族侄》诗：“萧条资用尽，～～门巷空。”
霍,,霍,,huò,雨(⻗),16,上下,一级字,❶鸟疾飞的声音。《说文·雔部》：“霍，飞声也。”//〖引〗疾速的样子。司马相如《大人赋》：“焕然雾除，～然云消。”//❷[霍霍]//闪动疾速的样子。刘子翚《谕俗》诗：“晚电明～～。”//磨刀声。《木兰诗》：“磨刀～～向猪羊。”//❸通“藿”。豆类植物的叶子。《汉书·鲍宣传》：“使奴从宾客，浆酒～肉。”（霍：动词，把……当作豆叶。）
豁,,豁㈠,,huō,谷,17,左右,一级字,❶缺。贾思勰《齐民要术·种谷》：“稀～之处，锄而补之。”//❷舍弃。《世说新语·德行》：“勿以我受任方州，云我～平昔时意。”
豁,,豁㈡,,huò,谷,17,左右,一级字,❶开阔的山谷。张协《七命》：“画长～以为限，带流溪以为关。”//〖引〗开阔。郭璞《江赋》：“～若天开。”（若：像。）//〖又〗大度。《史记·高祖本纪》：“仁而爱人，喜施，意～如也。”//[豁然]//开阔的样子。陶潜《桃花源记》：“复行数十步，～～开朗。”//[豁达]//心胸开阔。《旧唐书·高祖本纪》：“倜傥（tìtǎng）～～。”（倜傥：洒脱，不拘束。）//❷消散，散开。郭璞《江赋》：“集若霞布，散如云～。”//❸深。徐悱《古意酬到长史溉》诗：“此江称～险。”//❹免除（后起意义）。王士禛《书剑侠二事》：“传令吏归舍，释妻子，～其赔偿。”双音词有“豁免”。
雘,,雘,,huò,艹,17,左右,,赤石风化后的东西，可为颜料。《尚书·梓材》：“若作梓材，既勤朴斲（zhuó），惟其涂丹～。”
㶁,,㶁,,huò,氵,18,左右,,[㶁㶁]//流水声。韩愈《蓝田县丞厅壁记》：“水～～循除鸣。”
镬,,镬,[鑊],huò,钅,18,左右,二级字,古代的一种大锅。《吕氏春秋·察今》：“尝一脟肉，而知一～之味，一鼎之调。”（一脟肉：一小块肉。）
藿,,藿,,huò,艹,19,上下,二级字,❶豆叶。《诗经·小雅·白驹》：“皎皎白驹，食我场～。”《史记·李斯列传》：“冬日鹿裘，夏日葛衣，粢粝之食，藜～之羹。”//❷一种草，即藿香，茎叶可入药。左思《吴都赋》：“草则～蒳豆蔻。”
蠖,,蠖,,huò,虫,19,左右,二级字,❶尺蠖，蛾类的幼虫，行动时身体先屈后伸。俗称吊死鬼。《晋书·庾阐传》：“是以道隐则～屈，数感则凤睹。”//❷[温蠖]//昏聩。《史记·屈原贾生列传》：“宁赴常流而葬乎江鱼腹中耳，又安能以晧晧之白而蒙世俗之～～乎！”
火,,火,,huǒ,火,4,独体,一级字,❶火焰。《尚书·盘庚上》：“若～之燎于原。”《论衡·言毒》：“若～灼人。”（灼：烧。）//〖又〗用作动词。着火，发生火灾。《礼记·曾子问》：“太庙～，则从天子救火。”//〖特〗火把。《庄子·天地》：“厉之人夜半生其子，遽取～而视之。”//[火急]//紧急。柳宗元《叠后》诗：“劝君～～添功用。”//❷古时兵制，十人为一火。《新唐书·兵志》：“十人为～，～有长。”//[火伴]//同伴。《木兰诗》：“出门看～～，～～皆惊惶。”//❸星名。也叫大火，即心宿。《诗经·豳风·七月》：“七月流～，九月授衣。”//░古书中的“火”不是五大行星的火星。火星古代称“荧惑”。//❹（金、木、水、火、土）五行之一。见457页“行”字。
佸,,佸,,huó,亻,8,左右,三级字,相会，来会。《诗经·王风·君子于役》：“君子于役，不日不月，曷其有～？”
或,,或,,huò,戈,8,半包围,一级字,❶有的，有的人。《论语·为政》：“～谓孔子曰：‘子奚不为政？’”（奚：为什么。）司马迁《报任安书》：“人固有一死，～重于泰山，～轻于鸿毛。”//❷也许，或许。《左传·宣公三年》：“天～启之，必将为君。”李白《梦游天姥吟留别》：“云霞明灭～可睹。”（明灭：或明或暗。睹：看见。）//〖引〗表示选择，或者。《汉书·韩安国传》：“吾势已定，～营其左，～营其右，～当其前，～绝其后，单于可禽。”//❸又。《诗经·小雅·宾之初筵》：“既立之监，～佐之史。”（监、史：指奴隶主贵族宴饮时的辅佐人员。）//❹语气词。常用在否定句中加强否定语气。《孟子·滕文公上》：“虽使五尺之童适市，莫之～欺。”贾谊《论积贮疏》：“残贼公行，莫之～止。”（莫之或止：没有人制止它。）//❺通“惑”。迷惑。《汉书·霍去病传》：“别从东道，～失道。”（别：另外。）
货,,货,[貨],huò,贝,8,上下,一级字,❶财物。《尚书·洪范》：“一曰食，二曰～。”《商君书·立本》：“治行则～积。”（治行：指国家治理得好。）//❷钱，货币。《汉书·食货志下》：“百姓愦乱，其～不行，民私以五铢钱市买。”（五铢钱：汉代的一种钱币。）//❸行贿。《孟子·公孙丑下》：“无处而馈之，是～之也。”（处：原因。馈：馈赠。）《后汉书·黄琼传》：“诛税民受～者九人。”//❹出卖。柳宗元《钴鉧潭西小丘记》：“～而不售。”（不售：卖不出去。）
活,,活㈡,,huó,氵,9,左右,一级字,❶生存。与“死”相对。《韩非子·解老》：“以肠胃为根本，不食则不能～。”//〖又〗使……活，救活。《后汉书·华佗传》：“此可以～人。”//❷活计，谋生的手段。杜甫《闻斛斯六官未归》诗：“本卖文为～。”//❸活动，不固定。沈括《梦溪笔谈》卷一八：“有布衣毕昇，又为～板。”（布衣：平民。毕昇：人名。活板：活字排版。）//❹生动，活泼。杜牧《池州送孟迟先辈》诗：“雨余山态～。”（雨余：雨后。态：姿态。）
湱,,湱,,huò,,,,,❶[渹（hōng）湱]//见156页“渹”字。//❷[漰（pēng）湱]//水冲击声。郭璞《江赋》：“～～澩灂（xiàozhuó）。”（均为波涛相击声。）
濊,,濊㈡,,huò,,,,,[濊濊]//撒网入水声。《诗经·卫风·硕人》：“施罛～～，鳣鲔发（bō）发。”
矐,,矐,,huò,,,,,使人失明。《史记·刺客列传》：“秦皇帝惜其善击筑，重赦之，乃～其目。”
謋,,謋,,huò,,,,,[謋然]//迅速分离的声音。《庄子·养生主》：“视为止，行为迟，动刀甚微。～～已解，如土委地。”
倚,,倚㈠,,jī,亻,10,左右,一级字,❶怪异。《荀子·儒效》：“～物怪变。”//❷通“奇”。单个，独。《穀梁传·僖公三十三年》：“匹马～轮无反者。”//【辨析】//依，倚。二字都有“依靠”的意思，但词义轻重不同。“依”是靠近某物，意义轻；“倚”是斜靠在某物上，意义重。
剞,,剞,,jī,刂,10,左右,二级字,❶[剞劂（jué）]//雕刻用的刀。《楚辞·哀时命》：“握～～而不用兮，操规矩而无所施。”//雕版。韩愈《送文畅师北游》：“先生閟（bì）穷巷，未得窥～～。”//❷抢夺。左思《吴都赋》：“劫～熊罴之室，剽掠虎豹之落。”
勣,,勣,[勣],jì,力,10,左右,三级字,功。刘勰《文心雕龙·封禅》：“劳深～寡，飈燄缺焉。”（飈燄：气势雄壮。）
唧,,唧,,jī,口,10,左右,一级字,象声词。//[唧唧]//形容叹息声。《木兰诗》：“～～复～～，木兰当户织。”//形容虫鸟鸣叫声。白居易《闻虫》诗：“暗虫～～夜绵绵。”//[啾唧]//小声嘀咕。寒山《有乐且须乐》诗：“寄世是须臾，论钱莫～～。”
堲,,堲,,jí,土,10,上下,三级字,❶烧土为砖。《礼记·檀弓上》：“夏后氏～周。”（烧土为砖，放在棺材的四周。）//❷烛灰。《礼记·檀弓上》郑玄注引《弟子职》：“右手折～。”//❸通“疾”。憎恨。《尚书·舜典》：“朕～谗说殄行。”
姬,,姬,,jī,女,10,左右,二级字,❶帝王之妾。《史记·孙子吴起列传》：“以王之宠～二人各为队长。”//❷汉代宫中女官名。《汉官仪》卷下：“～，内官也。”//❸古时对妇女的美称，也称美女。《诗经·陈风·东门之池》：“彼美淑～，可与晤歌。”李白《玩月金陵城西》诗：“半道逢吴～。”（吴姬：吴地的女子。）
屐,,屐,,jī,尸,10,半包围,二级字,木头鞋。《晋书·宣帝纪》：“使军士二千人著软材平底木～前行。”//〖引〗穿木鞋。《汉书·爰盎传》：“盎解节旄怀之，～步行七十里。”
疾,,疾,,jí,疒,10,半包围,一级字,❶病。《尚书·金縢》：“武王有～，周公作《金縢》。”//〖又〗生病。《韩非子·外储说左上》：“婴～甚，且死。”（婴：人名。且：将。）//〖引〗痛苦，疾苦。《管子·小问》：“凡牧民者，必知其～。”《史记·萧相国世家》：“汉王所以具知天下阨塞，户口多少强弱之处，民所～苦者，以何具得秦图书也。”//〖引〗缺点，毛病。《荀子·修身》：“不由礼则触陷生～。”《孟子·梁惠王下》：“寡人有～，寡人好货。”//❷厌恶，憎恨。《论语·泰伯》：“人而不仁，～之已甚，乱也。”成语有“疾恶如仇”。//❸妒忌。《史记·孙子吴起列传》：“庞涓恐其贤于己，～之。”（庞涓：人名。）//❹快，急速。《周礼·考工记·鲍人》：“鼓大而短，则其声～而短闻。”《三国志·魏书·武帝纪》：“～雷不及掩耳。”//〖引〗急切地从事。《商君书·弱民》：“万民～于耕战。”//【辨析】//病，疾。见26页“病”字。//【辨析】//快，速，疾，捷。见395页“速”字。
积,,积,[積],jī,禾,10,左右,一级字,❶堆积谷物。《诗经·周颂·载芟》：“有实其～，万亿及秭。”（实：广大。秭：数目，十亿为秭。）曹操《步出夏门行·冬十月》：“钱镈停置，农收～场。”（钱、镈：两种农具。）//〖引〗堆积，聚积。《荀子·儒效》：“～土而为山，～水而为海。”//❷积蓄，积累。《盐铁论·错币》：“故人主～其食，守其用，制其有余，调其不足。”（制：控制。调：调剂。）//❸多。《汉书·食货志下》：“夫县法以诱民，使入陷阱，孰～于此？”（县：悬，张设。）//〖又〗久。《世说新语·文学》：“明公启晨光于～晦，澄百流以一源。”
笄,,笄,,jī,竹(𥫗),10,上下,二级字,古代盘头发或别住帽子用的簪子。《列子·周穆王》：“施芳泽，正娥眉，设～珥（ěr）。”（珥：用玉石做的耳环。）//〖引〗女子可以插笄的年龄，即成年。《国语·郑语》：“既～而孕。”
继,,继,[繼],jì,纟,10,左右,一级字,❶连续，紧接着。屈原《离骚》：“吾令凤鸟飞腾兮，～之以日夜。”（令：使。凤鸟：凤凰。）//❷承接，继承。《荀子·儒效》：“工匠之子，莫不～事。”《汉书·昭帝纪》：“昔周成以孺子～统。”//❸接着，跟着。《孟子·公孙丑下》：“～而有师命。”《韩非子·和氏》：“泣尽而～之以血。”//❹增益。《论语·雍也》：“君子周急不～富。”（周：救济。）《墨子·非命上》：“绝长～短，方地百里。”
脊,,脊,,jǐ,冃,10,上下,一级字,❶脊椎骨。《庄子·则阳》：“忌也出走，然后抶（chì）其背，折其～。”（抶：鞭打。）//〖又〗指脊背。《周礼·天官·内饔》：“马黑～而般臂。”（般：通“斑”。斑纹。）//❷物体中间高起的部分。《汉书·郊祀志上》：“江淮间一茅三～，所以为藉也。”《宋书·谢灵运传》：“山～曰冈。”《梁书·康绚传》：“依岸以筑土，合～于中流。”//〖喻〗事物的关键或要害部分。《战国策·楚策一》：“席卷常山之险，折天下之～。”//❸条理。《诗经·小雅·正月》：“维号斯言，有伦有～。”
觊,,觊,[覬],jì,见,10,左右,二级字,希望得到。《汉书·游侠传》：“众庶荣其名迹，～而慕之。”柳宗元《童区寄传》：“自毁齿已上，父兄鬻（yù）卖，以～其利。”（毁齿：指儿童换牙的年龄。已：以。鬻：卖。）//[觊觎（yú）]//非分的希望和企图。《三国志·魏书·武帝纪》：“群凶～～，分裂诸夏。”（诸夏：我国古代对中原地区的称呼。）
偈,,偈㈠,,jì,亻,11,左右,二级字,佛经中的唱诵词。李白《登梅冈望金陵赠族侄高座寺僧中孚》诗：“谈经演金～。”（演：发挥。）
基,,基,,jī,土,11,上下,一级字,❶地基，墙基。《诗经·周颂·丝衣》：“自堂徂～。”（徂：往。）贾思勰《齐民要术·园篱》：“于墙～之所，方整深耕。”（于：在。）//❷基础，根本。《老子·三十九章》：“贵以贱为本，高以下为～。”《左传·昭公十三年》：“足以为国～矣。”//❸开始。《诗经·周颂·昊天有成命》：“成王不敢康，夙夜～命宥密。”（康：安乐。宥：宽仁。密：安宁。）
寂,,寂,,jì,宀,11,上下,一级字,❶没有声音。《老子·二十五章》：“～兮寥兮。”（无声无形。寥：空廓，没有形体。）//[寂然]//安静的样子。《周易·系辞上》：“～～不动，感而遂通。”《晋书·谢安传》：“既而～～。”（既而：不久。）//❷寂寞。《论衡·程材》：“儒者～于空室，文吏哗于朝堂。”
寄,,寄,,jì,宀,11,上下,一级字,❶寄居，依附。《战国策·齐策四》：“使人属孟尝君，愿～食门下。”（属：嘱托。）《世说新语·言语》：“～人国土，心常怀惭。”//❷寄托，托付。《论语·泰伯》：“可以托六尺之孤，可以～百里之命。”诸葛亮《出师表》：“先帝知臣谨慎，故临崩～臣以大事也。”（臣：诸葛亮自称。临崩：临死。）//〖引〗寄存。《北齐书·高德政传》：“德政妻出宝物满四床，欲以～人。”//❸传送（后起意义）。沈括《梦溪笔谈》卷五：“弯弓莫射云中雁，归雁如今不～书。”（莫：不要。书：书信。）
悸,,悸,,jì,忄,11,左右,二级字,因害怕而心跳。《楚辞·九思·悼乱》：“惶～兮失气。”（惶：恐惧。失气：气快要断了。）//〖引〗心跳病。《汉书·田延年传》：“使我至今病～。”这个义项后来写作“痵”。
掎,,掎,,jǐ,扌,11,左右,三级字,❶抓住，拖住。《诗经·小雅·小弁》：“伐木～矣，析薪杝（zhì）也。”（伐木要拖住它防止倒错了方向，劈柴要顺着木头的纹理。）《汉书·叙传》：“昔秦失其鹿，刘季逐而～之。”//〖引〗牵制。《三国志·魏书·满宠传》：“羽所以不敢遂进者，恐吾军～其后耳。”（羽：关羽，人名。）//[掎角]//分兵牵制或夹击。《三国志·吴书·陆逊传》：“～～此寇，正在今日。”//❷发射。班固《西都赋》：“机不虚～，弦不再控。”
